Recipe Name,Ingredients,Cuisine,Meal Type,Dietary Restrictions,Rating,Reviews,Calories,Source/Origin,Preparation Time,Cook Time,Total Time,Difficulty Level,Servings,Protein,Fat,Carbs
Spaghetti Carbonara,"Spaghetti, eggs, pancetta, Parmesan cheese, black pepper, salt",Italian,Dinner,None,4.5,Delicious and easy to make!,450,Cookbook,10 minutes,15 minutes,25 minutes,Easy,4,Protein: 20g, Fat: 12g, Carbohydrates: 60g
Chicken Tikka Masala,"Chicken breast, yogurt, tomatoes, onion, garlic, ginger, garam masala, turmeric, cumin, cilantro",Indian,Dinner,None,4.8,"Amazing flavors, a must-try!",380,Website,20 minutes,30 minutes,50 minutes,Moderate,6,Protein: 30g, Fat: 14g, Carbohydrates: 25g
Caesar Salad,"Romaine lettuce, croutons, Parmesan cheese, Caesar dressing",American,Lunch,Vegetarian,4.2,Classic and delicious!,220,Personal creation,15 minutes,0 minutes,15 minutes,Easy,2,Protein: 10g, Fat: 15g, Carbohydrates: 10g
Beef Tacos,"Ground beef, taco seasoning, tortillas, lettuce, tomatoes, cheese, salsa, sour cream",Mexican,Dinner,None,4.7,"Authentic taste, loved it!",350,Cookbook,10 minutes,15 minutes,25 minutes,Easy,4,Protein: 25g, Fat: 18g, Carbohydrates: 30g
Spinach and Feta Stuffed Chicken Breast,"Chicken breast, spinach, feta cheese, garlic, olive oil, salt, pepper",Mediterranean,Dinner,Gluten-free,4.6,Healthy and flavorful!,280,Website,15 minutes,25 minutes,40 minutes,Moderate,2,Protein: 30g, Fat: 12g, Carbohydrates: 5g
Chocolate Chip Cookies,"Flour, butter, sugar, brown sugar, eggs, vanilla extract, chocolate chips, baking soda, salt",American,Dessert,None,4.9,The best chocolate chip cookies ever!,150,Personal creation,20 minutes,10 minutes,30 minutes,Easy,24,Protein: 2g, Fat: 8g, Carbohydrates: 18g
Pad Thai,"Rice noodles, shrimp, tofu, bean sprouts, eggs, peanuts, garlic, tamarind sauce, lime, cilantro",Thai,Dinner,None,4.5,"Authentic flavors, loved it!",420,Cookbook,20 minutes,15 minutes,35 minutes,Moderate,4,Protein: 20g, Fat: 10g, Carbohydrates: 60g
Caprese Salad,"Tomatoes, mozzarella cheese, fresh basil, balsamic glaze, olive oil, salt, pepper",Italian,Lunch,Vegetarian,4.3,Simple and delicious!,180,Personal creation,10 minutes,0 minutes,10 minutes,Easy,2,Protein: 15g, Fat: 10g, Carbohydrates: 5g
Beef Stir-Fry,"Beef sirloin, bell peppers, broccoli, carrots, soy sauce, ginger, garlic, sesame oil, cornstarch",Asian,Dinner,None,4.6,Quick and tasty!,320,Website,15 minutes,10 minutes,25 minutes,Easy,4,Protein: 25g, Fat: 12g, Carbohydrates: 20g
Vegetable Curry,"Assorted vegetables (such as potatoes, carrots, peas, cauliflower), onion, garlic, ginger, curry powder, coconut milk, vegetable broth",Indian,Dinner,Vegan,4.7,Delicious and healthy!,280,Cookbook,15 minutes,30 minutes,45 minutes,Moderate,4,Protein: 8g, Fat: 10g, Carbohydrates: 40g
